imdb_id,title,url,release_year,duration,certificate,rating,genres,cast,poster
tt7130300,The Woman in Cabin 10,https://www.imdb.com/title/tt7130300,2025,1h 32m,R,5.9(20K),"['Whodunnit', 'Drama', 'Mystery', 'Thriller']","['Simon Stone', 'Joe Shrapnel', 'Anna Waterhouse', 'Emma Frost', 'Ruth Ware', 'Keira Knightley', 'Guy Pearce', 'David Ajala', 'Gitte Witt', 'Art Malik']",posters_show\The_Woman_in_Cabin_10.jpg
tt30144839,One Battle After Another,https://www.imdb.com/title/tt30144839,2025,2h 41m,R,8.3(103K),"['Action Epic', 'Dark Comedy', 'Epic', 'Political Thriller', 'Action', 'Crime', 'Drama', 'Thriller']","['Paul Thomas Anderson', 'Thomas Pynchon', 'Teyana Taylor', 'Leonardo DiCaprio', 'Regina Hall', 'Wood Harris', 'Alana Haim', 'Shayna McHayle', 'Paul Grimstad', 'Dijon Duenas']",posters_show\One_Battle_After_Another.jpg
tt6604188,Tron: Ares,https://www.imdb.com/title/tt6604188,2025,1h 59m,PG-13,6.7(18K),"['Artificial Intelligence', 'Cyberpunk', 'Action', 'Adventure', 'Sci-Fi']","['Joachim Rønning', 'Steven Lisberger', 'Bonnie MacBird', 'David DiGilio', 'Jesse Wigutow', 'Jared Leto', 'Greta Lee', 'Jeff Bridges', 'Evan Peters', 'Jodie Turner-Smith']",posters_show\Tron__Ares.jpg
tt21103218,The Lost Bus,https://www.imdb.com/title/tt21103218,2025,2h 9m,R,6.9(22K),"['Disaster', 'Biography', 'Drama', 'History', 'Thriller']","['Paul Greengrass', 'Brad Ingelsby', 'Lizzie Johnson', 'Matthew McConaughey', 'America Ferrera', 'Yul Vazquez', 'Ashlie Atkinson', 'Kimberli Flores', 'Levi McConaughey', 'Kay McConaughey']",posters_show\The_Lost_Bus.jpg
tt18392014,Play Dirty,https://www.imdb.com/title/tt18392014,2025,2h 5m,R,5.9(14K),"['Caper', 'Heist', 'Action', 'Crime', 'Drama', 'Thriller']","['Shane Black', 'Donald E. Westlake', 'Chuck Mondry', 'Anthony Bagarozzi', 'Mark Wahlberg', 'LaKeith Stanfield', 'Rosa Salazar', 'Keegan-Michael Key', 'Chukwudi Iwuji', 'Nat Wolff']",posters_show\Play_Dirty.jpg
tt26581740,Weapons,https://www.imdb.com/title/tt26581740,2025,2h 8m,R,7.5(185K),"['Dark Comedy', 'Psychological Horror', 'Supernatural Horror', 'Witch Horror', 'Horror', 'Mystery']","['Zach Cregger', 'Scarlett Sher', 'Julia Garner', 'Cary Christopher', 'Jason Turner', 'Josh Brolin', 'Benedict Wong', 'Anny Jules', 'Ali Burch', 'Michael Gene Conti']",posters_show\Weapons.jpg
tt22898462,The Conjuring: Last Rites,https://www.imdb.com/title/tt22898462,2025,2h 15m,R,6.3(54K),"['Supernatural Horror', 'Horror', 'Mystery', 'Thriller']","['Michael Chaves', 'Ian Goldberg', 'Richard Naing', 'David Leslie Johnson-McGoldrick', 'James Wan', 'Chad Hayes', 'Carey W. Hayes', 'Patrick Wilson', 'Vera Farmiga', 'Mia Tomlinson']",posters_show\The_Conjuring__Last_Rites.jpg
tt26439764,Kantara A Legend: Chapter 1,https://www.imdb.com/title/tt26439764,2025,2h 45m,Not Rated,8.6(39K),"['Kannada', 'Action', 'Thriller']","['Rishab Shetty', 'Anirudh Mahesh', 'Shanil Guru', 'Jayaram', 'Rukmini Vasanth', 'Gulshan Devaiah', 'Rakesh Poojari', 'Prakash Thuminad', 'Pramod Shetty', 'Mime Ramdas']",posters_show\Kantara_A_Legend__Chapter_1.jpg
tt11214558,The Smashing Machine,https://www.imdb.com/title/tt11214558,2025,2h 3m,R,6.8(33K),"['Boxing', 'Docudrama', 'Period Drama', 'Psychological Drama', 'Action', 'Biography', 'Drama', 'History', 'Sport']","['Benny Safdie', 'Dwayne Johnson', 'Kenny Rice', 'Jerin Valel', 'Andre Tricoteux', 'James McSweeney', 'Jonathan Corbblah', 'Ryan Bader', 'Ilan Rosenberg', 'Nick Toren']",posters_show\The_Smashing_Machine.jpg
tt31511689,Vicious,https://www.imdb.com/title/tt31511689,2025,1h 38m,R,4.9(2.8K),"['Supernatural Horror', 'Horror']","['Bryan Bertino', 'Dakota Fanning', 'Kathryn Hunter', 'Mary McCormack', 'Rachel Blanchard', 'Devyn Nekoda', 'Klea Scott', 'Emily Mitchell', 'Bauston Camilleri', 'Drew Moore']",posters_show\Vicious.jpg
tt5950044,Superman,https://www.imdb.com/title/tt5950044,2025,2h 9m,PG-13,7.1(329K),"['Action Epic', 'Adventure Epic', 'Epic', 'Sci-Fi Epic', 'Superhero', 'Action', 'Adventure', 'Sci-Fi']","['James Gunn', 'Jerry Siegel', 'Joe Shuster', 'David Corenswet', 'Alan Tudyk', 'Grace Chan', 'Bradley Cooper', 'Angela Sarafyan', 'Michael Rooker', 'Pom Klementieff']",posters_show\Superman.jpg
tt32985279,Steve,https://www.imdb.com/title/tt32985279,2025,1h 33m,R,6.4(8.9K),"['Comedy', 'Drama']","['Tim Mielants', 'Max Porter', 'Cillian Murphy', 'Jay Lycurgo', 'Archie Fisher', 'Araloyin Oshunremi', 'Luke Ayres', 'Marcus Garvey', 'Priyanga Burford', 'Joshua Barry']",posters_show\Steve.jpg
tt4627382,Roofman,https://www.imdb.com/title/tt4627382,2025,2h 6m,R,7.2(4.1K),"['Dark Comedy', 'Biography', 'Crime', 'Drama', 'History', 'Music', 'Romance']","['Derek Cianfrance', 'Kirt Gunn', 'Channing Tatum', 'Tony Revolori', 'Kirana Kuic', 'Gabriella Cila', 'Alissa Marie Pearson', 'LaKeith Stanfield', 'Esmé McSherry', 'Melonie Diaz']",posters_show\Roofman.jpg
tt17526714,The Substance,https://www.imdb.com/title/tt17526714,2024,2h 21m,R,7.2(347K),"['Body Horror', 'Dark Comedy', 'Monster Horror', 'Psychological Horror', 'Showbiz Drama', 'Drama', 'Horror', 'Sci-Fi']","['Coralie Fargeat', 'Demi Moore', 'Margaret Qualley', 'Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams', 'Oscar Lesage', 'Christian Erickson', 'Robin Greer', 'Tom Morton']",posters_show\The_Substance.jpg
tt1104001,Tron: Legacy,https://www.imdb.com/title/tt1104001,2010,2h 5m,PG,6.8(377K),"['Artificial Intelligence', 'Cyberpunk', 'Action', 'Adventure', 'Sci-Fi']","['Joseph Kosinski', 'Edward Kitsis', 'Adam Horowitz', 'Brian Klugman', 'Lee Sternthal', 'Steven Lisberger', 'Bonnie MacBird', 'Jeff Bridges', 'Garrett Hedlund', 'Olivia Wilde']",posters_show\Tron__Legacy.jpg
tt20990442,Him,https://www.imdb.com/title/tt20990442,2025,1h 36m,R,5.1(11K),"['Body Horror', 'Football', 'Psychological Horror', 'Horror', 'Sport']","['Justin Tipping', 'Skip Bronkie', 'Zack Akers', 'Marlon Wayans', 'Tyriq Withers', 'Julia Fox', 'Tim Heidecker', 'Jim Jefferies', 'Maurice Greene', 'Indira G. Wilson']",posters_show\Him.jpg
tt35521922,Good Boy,https://www.imdb.com/title/tt35521922,2025,1h 12m,PG-13,6.5(6.1K),"['Comedy', 'Horror', 'Thriller']","['Ben Leonberg', 'Alex Cannon', 'Indy', 'Shane Jensen', 'Arielle Friedman', 'Larry Fessenden', 'Stuart Rudin', 'Hunter Goetz', 'Anya Krawcheck', 'Max']",posters_show\Good_Boy.jpg
tt0054215,Psycho,https://www.imdb.com/title/tt0054215,1960,1h 49m,R,8.5(767K),"['Dark Comedy', 'Psychological Horror', 'Psychological Thriller', 'Slasher Horror', 'Suspense Mystery', 'Drama', 'Horror', 'Mystery', 'Thriller']","['Alfred Hitchcock', 'Joseph Stefano', 'Robert Bloch', 'Anthony Perkins', 'Vera Miles', 'John Gavin', 'Janet Leigh', 'Martin Balsam', 'John McIntire', 'Simon Oakland']",posters_show\Psycho.jpg
tt14205554,KPop Demon Hunters,https://www.imdb.com/title/tt14205554,2025,1h 35m,PG,7.6(87K),"['Computer Animation', 'Pop Musical', 'Superhero', 'Supernatural Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['Chris Appelhans', 'Maggie Kang', 'Danya Jimenez', 'Hannah McMechan', 'Bo Yeon Kim', 'Erika Lippoldt', 'Arden Cho', 'May Hong', 'Ji-young Yoo', 'Ahn Hyo-seop']",posters_show\KPop_Demon_Hunters.jpg
tt1493274,Caught Stealing,https://www.imdb.com/title/tt1493274,2025,1h 47m,R,7.0(34K),"['Dark Comedy', 'Gangster', 'Psychological Drama', 'Psychological Thriller', 'Comedy', 'Crime', 'Thriller']","['Darren Aronofsky', 'Charlie Huston', 'Austin Butler', 'Griffin Dunne', 'Dominique Silver', ""Shaun O'Hagan"", 'Action Bronson', 'Jake Bentley Young', 'Zoë Kravitz', 'Kitty Lawrence']",posters_show\Caught_Stealing.jpg
tt32549601,Caramelo,https://www.imdb.com/title/tt32549601,2025,1h 41m,,7.2(2.5K),"['Portuguese', 'Animal Adventure', 'Workplace Drama', 'Comedy', 'Drama', 'Family']","['Diego Freitas', 'Rod Azevedo', 'Vitor Brandt', 'Carolina Castro', 'Rafael Vitti', 'Arianne Botelho', 'Kelzy Ecard', 'Bruno Vinícius', 'Ademara', 'Noemia Oliveira']",posters_show\Caramelo.jpg
tt0337741,Something's Gotta Give,https://www.imdb.com/title/tt0337741,2003,2h 8m,PG-13,6.8(135K),"['Romantic Comedy', 'Comedy', 'Drama', 'Romance']","['Nancy Meyers', 'Jack Nicholson', 'Diane Keaton', 'Keanu Reeves', 'Frances McDormand', 'Amanda Peet', 'Jon Favreau', 'Paul Michael Glaser', 'Rachel Ticotin', 'Paige Butcher']",posters_show\Something_s_Gotta_Give.jpg
tt26743210,How to Train Your Dragon,https://www.imdb.com/title/tt26743210,2025,2h 5m,PG,7.8(101K),"['Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","['Dean DeBlois', 'Cressida Cowell', 'William Davies', 'Chris Sanders', 'Mason Thames', 'Nico Parker', 'Gerard Butler', 'Nick Frost', 'Gabriel Howell', 'Julian Dennison']",posters_show\How_to_Train_Your_Dragon.jpg
tt26928684,Summer Camp,https://www.imdb.com/title/tt26928684,2024,1h 35m,PG-13,4.6(2K),"['Quirky Comedy', 'Comedy']","['Castille Landon', 'Diane Keaton', 'Kathy Bates', 'Alfre Woodard', 'Eugene Levy', 'Dennis Haysbert', ""Beverly D'Angelo"", 'Nicole Richie', 'Josh Peck', 'Betsy Sodaro']",posters_show\Summer_Camp.jpg
tt0075686,Annie Hall,https://www.imdb.com/title/tt0075686,1977,1h 33m,PG,7.9(287K),"['Romantic Comedy', 'Comedy', 'Romance']","['Woody Allen', 'Marshall Brickman', 'Diane Keaton', 'Tony Roberts', 'Carol Kane', 'Paul Simon', 'Shelley Duvall', 'Janet Margolin', 'Colleen Dewhurst', 'Christopher Walken']",posters_show\Annie_Hall.jpg
